"ItemID","Description","ItemClass","Category","Material","Style","Color","HeightFt","WidthFt","Retail","Cost"
"CB52","5/16 x 2 in CARRIAGE BOLT","Non-stock item","Other","","","","","","3.83","0.23"
"CB525","5/16 x 2-1/2 in CARRIAGE BOLT","Non-stock item","Other","","","","","","4.5","0.27"
"CBA250","2-1/2 CORNER BARB ARM","Non-stock item","Other","","","","","","16.34","8.17"
"CBA300","3 CORNER BARB ARM","Non-stock item","Other","","","","","","17.42","8.71"
"CBA400","4 in. CORNER BARB ARM","Non-stock item","Other","","","","","","23.52","11.76"
"CBCOMM","36"""" in Cane Bolt s.s. nw38305","Non-stock item","Other","","","","","","56.55","37.32"
"CBCOMM4","48 in Cane Bolt ss","Non-stock item","Other","","","","","","68.06","44.92"
"CBCOMMG","36"""" Pvc Cane Bolt Galvanized","Non-stock item","Other","PVC/Vinyl","","","","","33.68","12.8"
"cc fee","","Non-stock item","Other","","","","","","0","0"
"CC2138","2 x 1-3/8 Corner Clamps With B","Non-stock item","Other","","","","","","5.3","2.65"
"CC2158","2 x 1-5/8 Corner Clamps With B","Non-stock item","Other","","","","","","5.46","2.73"
"CC25138","2-1/2 x 1-3/8 Corner Clamps Wi","Non-stock item","Other","","","","","","5.38","2.69"
"CC25158","2-1/2 x 1-5/8 Corner Clamps Wi","Non-stock item","Other","","","","","","5.1","2.55"
"CC3158","3 x 1-5/8 Corner Clamps With B","Non-stock item","Other","","","","3","","5.52","2.76"
"CC35158H","Heavy Corner clamp 3-1/2x1-5/8","Non-stock item","Other","","","","","","57.31","31.52"
"CC4158","4 x 1-5/8 Corner Clamps With B","Non-stock item","Other","","","","4","","0","0.9"
"CCBC","Certainteed Drop Bar","Non-stock item","Other","PVC/Vinyl","Certainteed","","","","125.82","69.2"
"CCG1010","Comm cantilever gate 10 x 10 o","Non-stock item","Gate","","","","","10","0","0"
"CCG1012","Comm cantilever gate 10 x 12 o","Non-stock item","Gate","","","","","12","0","0"
"CCG1014","Comm cantilever gate 10 x 14 o","Non-stock item","Gate","","","","","","0","0"
"CCG1016","Comm cantilever gate 10 x 16 o","Non-stock item","Gate","","","","","","0","0"
"CCG1018","Comm cantilever gate 10 x 18 o","Non-stock item","Gate","","","","","","0","0"
"CCG1020","Comm cantilever gate 10 x 20 o","Non-stock item","Gate","","","","","","0","0"
"CCG1022","Comm cantilever gate 10 x 22 o","Non-stock item","Gate","","","","","","0","0"
"CCG1024","Comm cantilever gate 10 x 24 o","Non-stock item","Gate","","","","","","0","0"
"CCG1026","Comm cantilever gate 10 x 26 o","Non-stock item","Gate","","","","","","0","0"
"CCG1028","Comm cantilever gate 10 x 28 o","Non-stock item","Gate","","","","","","0","0"
"CCG1030","Comm cantilever gate 10 x 30 o","Non-stock item","Gate","","","","","3","0","0"
"CCG1210","Comm cantilever gate 12 x 10 o","Non-stock item","Gate","","","","","10","0","0"
"CCG1212","Comm cantilever gate 12 x 12 o","Non-stock item","Gate","","","","","12","0","0"
